ClientID,Timestamp,Operation,Latency_us,Success
client4-1746557033644342742,2025-05-06T14:43:53.661426784-04:00,write,7390,true
client2-1746557033644340358,2025-05-06T14:43:53.663962695-04:00,write,9917,true
client1-1746557033644338314,2025-05-06T14:43:53.664037807-04:00,write,9979,true
client3-1746557033644341811,2025-05-06T14:43:53.664068886-04:00,write,10004,true
client4-1746557033644342742,2025-05-06T14:43:53.666587414-04:00,write,5136,true
client2-1746557033644340358,2025-05-06T14:43:53.66831419-04:00,write,4335,true
client1-1746557033644338314,2025-05-06T14:43:53.668495462-04:00,write,4449,true
client3-1746557033644341811,2025-05-06T14:43:53.668506563-04:00,write,4431,true
client4-1746557033644342742,2025-05-06T14:43:53.671010464-04:00,write,4417,true
client2-1746557033644340358,2025-05-06T14:43:53.671629641-04:00,write,3311,true
client3-1746557033644341811,2025-05-06T14:43:53.673756221-04:00,write,5226,true
client1-1746557033644338314,2025-05-06T14:43:53.673815523-04:00,write,5301,true
client4-1746557033644342742,2025-05-06T14:43:53.674348878-04:00,write,3334,true
client2-1746557033644340358,2025-05-06T14:43:53.676381521-04:00,write,4747,true
client3-1746557033644341811,2025-05-06T14:43:53.678297013-04:00,write,4536,true
client1-1746557033644338314,2025-05-06T14:43:53.678457074-04:00,write,4634,true
client4-1746557033644342742,2025-05-06T14:43:53.678473495-04:00,write,4120,true
client2-1746557033644340358,2025-05-06T14:43:53.6799979-04:00,write,3610,true
client3-1746557033644341811,2025-05-06T14:43:53.681480114-04:00,write,3176,true
client4-1746557033644342742,2025-05-06T14:43:53.683819485-04:00,write,5324,true
client1-1746557033644338314,2025-05-06T14:43:53.683856014-04:00,write,5392,true
client2-1746557033644340358,2025-05-06T14:43:53.684434955-04:00,write,4430,true
client3-1746557033644341811,2025-05-06T14:43:53.687160194-04:00,write,5673,true
client4-1746557033644342742,2025-05-06T14:43:53.687323071-04:00,write,3499,true
client2-1746557033644340358,2025-05-06T14:43:53.691324465-04:00,write,6882,true
client1-1746557033644338314,2025-05-06T14:43:53.691368068-04:00,write,7505,true
client3-1746557033644341811,2025-05-06T14:43:53.691403515-04:00,write,4237,true
client4-1746557033644342742,2025-05-06T14:43:53.694580685-04:00,write,7250,true
client2-1746557033644340358,2025-05-06T14:43:53.694676766-04:00,write,3345,true
client1-1746557033644338314,2025-05-06T14:43:53.697808621-04:00,write,6434,true
client3-1746557033644341811,2025-05-06T14:43:53.697870899-04:00,write,6462,true
client4-1746557033644342742,2025-05-06T14:43:53.697904652-04:00,write,3319,true
client2-1746557033644340358,2025-05-06T14:43:53.700866307-04:00,write,6183,true
client1-1746557033644338314,2025-05-06T14:43:53.70120209-04:00,write,3389,true
client3-1746557033644341811,2025-05-06T14:43:53.703934011-04:00,write,6056,true
client4-1746557033644342742,2025-05-06T14:43:53.703953347-04:00,write,6043,true
client2-1746557033644340358,2025-05-06T14:43:53.704285343-04:00,write,3413,true
client1-1746557033644338314,2025-05-06T14:43:53.70697785-04:00,write,5769,true
client3-1746557033644341811,2025-05-06T14:43:53.707568684-04:00,write,3629,true
client2-1746557033644340358,2025-05-06T14:43:53.711203046-04:00,write,6911,true
client4-1746557033644342742,2025-05-06T14:43:53.711243282-04:00,write,7283,true
client1-1746557033644338314,2025-05-06T14:43:53.711808778-04:00,write,4824,true
client3-1746557033644341811,2025-05-06T14:43:53.713921171-04:00,write,6346,true
client4-1746557033644342742,2025-05-06T14:43:53.716293093-04:00,write,5046,true
client1-1746557033644338314,2025-05-06T14:43:53.718050417-04:00,write,6235,true
