ClientID,Timestamp,Operation,Latency_us,Success
client2-1746557200124556687,2025-05-06T14:46:40.142828779-04:00,write,8720,true
client3-1746557200124557659,2025-05-06T14:46:40.145488975-04:00,write,10720,true
client1-1746557200124555315,2025-05-06T14:46:40.145582641-04:00,write,11228,true
client0-1746557200124548181,2025-05-06T14:46:40.145605515-04:00,write,11272,true
client2-1746557200124556687,2025-05-06T14:46:40.148550146-04:00,write,5693,true
client4-1746557200124558571,2025-05-06T14:46:40.14934772-04:00,write,14186,true
client1-1746557200124555315,2025-05-06T14:46:40.150955081-04:00,write,5352,true
client3-1746557200124557659,2025-05-06T14:46:40.150970069-04:00,write,5462,true
client2-1746557200124556687,2025-05-06T14:46:40.153239178-04:00,write,4681,true
client3-1746557200124557659,2025-05-06T14:46:40.155254287-04:00,write,4256,true
client4-1746557200124558571,2025-05-06T14:46:40.155335771-04:00,write,5983,true
client1-1746557200124555315,2025-05-06T14:46:40.155350478-04:00,write,4371,true
client3-1746557200124557659,2025-05-06T14:46:40.158291894-04:00,write,3030,true
client2-1746557200124556687,2025-05-06T14:46:40.158378347-04:00,write,5133,true
client4-1746557200124558571,2025-05-06T14:46:40.161209195-04:00,write,5867,true
client1-1746557200124555315,2025-05-06T14:46:40.161279257-04:00,write,5923,true
client3-1746557200124557659,2025-05-06T14:46:40.161289907-04:00,write,2992,true
client4-1746557200124558571,2025-05-06T14:46:40.164255168-04:00,write,3039,true
client2-1746557200124556687,2025-05-06T14:46:40.164329087-04:00,write,5947,true
client4-1746557200124558571,2025-05-06T14:46:40.167700053-04:00,write,3439,true
client1-1746557200124555315,2025-05-06T14:46:40.167746932-04:00,write,6461,true
client3-1746557200124557659,2025-05-06T14:46:40.167759265-04:00,write,6464,true
client4-1746557200124558571,2025-05-06T14:46:40.170727211-04:00,write,3021,true
client2-1746557200124556687,2025-05-06T14:46:40.170814055-04:00,write,6477,true
client1-1746557200124555315,2025-05-06T14:46:40.173853295-04:00,write,6100,true
client3-1746557200124557659,2025-05-06T14:46:40.173931633-04:00,write,6167,true
client4-1746557200124558571,2025-05-06T14:46:40.173958864-04:00,write,3226,true
client1-1746557200124555315,2025-05-06T14:46:40.176939905-04:00,write,3081,true
client2-1746557200124556687,2025-05-06T14:46:40.177025536-04:00,write,6205,true
client1-1746557200124555315,2025-05-06T14:46:40.179910145-04:00,write,2964,true
client3-1746557200124557659,2025-05-06T14:46:40.179990437-04:00,write,6053,true
client4-1746557200124558571,2025-05-06T14:46:40.18000266-04:00,write,6038,true
