ClientID,Timestamp,Operation,Latency_us,Success
client0-1746469254700213924,2025-05-05T14:20:54.707580223-04:00,write,6427,true
client1-1746469254700215747,2025-05-05T14:20:54.710175666-04:00,write,7999,true
client4-1746469254700218663,2025-05-05T14:20:54.710257349-04:00,write,8966,true
client2-1746469254700216859,2025-05-05T14:20:54.710325107-04:00,write,8767,true
client3-1746469254700217931,2025-05-05T14:20:54.710350204-04:00,write,8693,true
client0-1746469254700213924,2025-05-05T14:20:54.713762474-04:00,write,6173,true
client1-1746469254700215747,2025-05-05T14:20:54.716518649-04:00,write,6338,true
client4-1746469254700218663,2025-05-05T14:20:54.716692055-04:00,write,6432,true
client2-1746469254700216859,2025-05-05T14:20:54.716737581-04:00,write,6410,true
client3-1746469254700217931,2025-05-05T14:20:54.716757479-04:00,write,6404,true
client0-1746469254700213924,2025-05-05T14:20:54.723775692-04:00,write,10009,true
client1-1746469254700215747,2025-05-05T14:20:54.723918381-04:00,write,7396,true
client4-1746469254700218663,2025-05-05T14:20:54.726340999-04:00,write,9645,true
client3-1746469254700217931,2025-05-05T14:20:54.726366517-04:00,write,9606,true
client2-1746469254700216859,2025-05-05T14:20:54.726377457-04:00,write,9637,true
client0-1746469254700213924,2025-05-05T14:20:54.729836074-04:00,write,6056,true
client1-1746469254700215747,2025-05-05T14:20:54.733808077-04:00,write,9887,true
client0-1746469254700213924,2025-05-05T14:20:54.73743956-04:00,write,7600,true
client4-1746469254700218663,2025-05-05T14:20:54.737513689-04:00,write,11169,true
client3-1746469254700217931,2025-05-05T14:20:54.737539658-04:00,write,11170,true
client2-1746469254700216859,2025-05-05T14:20:54.737551039-04:00,write,11171,true
client1-1746469254700215747,2025-05-05T14:20:54.740073014-04:00,write,6261,true
client4-1746469254700218663,2025-05-05T14:20:54.743994021-04:00,write,6477,true
client0-1746469254700213924,2025-05-05T14:20:54.744266924-04:00,write,6823,true
client2-1746469254700216859,2025-05-05T14:20:54.744289868-04:00,write,6736,true
client3-1746469254700217931,2025-05-05T14:20:54.744300748-04:00,write,6758,true
client1-1746469254700215747,2025-05-05T14:20:54.749936501-04:00,write,9859,true
client4-1746469254700218663,2025-05-05T14:20:54.750076665-04:00,write,6079,true
client0-1746469254700213924,2025-05-05T14:20:54.75571885-04:00,write,11448,true
client2-1746469254700216859,2025-05-05T14:20:54.755805483-04:00,write,11513,true
client3-1746469254700217931,2025-05-05T14:20:54.755816664-04:00,write,11513,true
client0-1746469254700213924,2025-05-05T14:20:54.76146443-04:00,write,5742,true
client1-1746469254700215747,2025-05-05T14:20:54.761541655-04:00,write,11601,true
client4-1746469254700218663,2025-05-05T14:20:54.761554138-04:00,write,11474,true
client3-1746469254700217931,2025-05-05T14:20:54.764764639-04:00,write,8945,true
client2-1746469254700216859,2025-05-05T14:20:54.764777172-04:00,write,8969,true
client0-1746469254700213924,2025-05-05T14:20:54.769710103-04:00,write,8242,true
client2-1746469254700216859,2025-05-05T14:20:54.774629648-04:00,write,9850,true
client4-1746469254700218663,2025-05-05T14:20:54.774692857-04:00,write,13136,true
client1-1746469254700215747,2025-05-05T14:20:54.774721852-04:00,write,13177,true
client3-1746469254700217931,2025-05-05T14:20:54.774733975-04:00,write,9965,true
client2-1746469254700216859,2025-05-05T14:20:54.781355803-04:00,write,6722,true
client0-1746469254700213924,2025-05-05T14:20:54.781442185-04:00,write,11728,true
client2-1746469254700216859,2025-05-05T14:20:54.787479354-04:00,write,6119,true
client4-1746469254700218663,2025-05-05T14:20:54.787550658-04:00,write,12855,true
client3-1746469254700217931,2025-05-05T14:20:54.787586525-04:00,write,12850,true
client1-1746469254700215747,2025-05-05T14:20:54.787597656-04:00,write,12873,true
client0-1746469254700213924,2025-05-05T14:20:54.790875243-04:00,write,9430,true
client4-1746469254700218663,2025-05-05T14:20:54.79642819-04:00,write,8875,true
client0-1746469254700213924,2025-05-05T14:20:54.799862732-04:00,write,8984,true
client2-1746469254700216859,2025-05-05T14:20:54.799967248-04:00,write,12484,true
client1-1746469254700215747,2025-05-05T14:20:54.79998423-04:00,write,12384,true
client3-1746469254700217931,2025-05-05T14:20:54.800004378-04:00,write,12415,true
client4-1746469254700218663,2025-05-05T14:20:54.803178069-04:00,write,6746,true
client0-1746469254700213924,2025-05-05T14:20:54.810229516-04:00,write,10363,true
client2-1746469254700216859,2025-05-05T14:20:54.814012162-04:00,write,14037,true
client1-1746469254700215747,2025-05-05T14:20:54.814090389-04:00,write,14103,true
client3-1746469254700217931,2025-05-05T14:20:54.814102041-04:00,write,14095,true
client4-1746469254700218663,2025-05-05T14:20:54.814668116-04:00,write,11486,true
client0-1746469254700213924,2025-05-05T14:20:54.819014564-04:00,write,8781,true
client4-1746469254700218663,2025-05-05T14:20:54.825237762-04:00,write,10566,true
client2-1746469254700216859,2025-05-05T14:20:54.825344112-04:00,write,11328,true
client3-1746469254700217931,2025-05-05T14:20:54.825355714-04:00,write,11251,true
client1-1746469254700215747,2025-05-05T14:20:54.825374619-04:00,write,11281,true
client4-1746469254700218663,2025-05-05T14:20:54.836443154-04:00,write,11201,true
client0-1746469254700213924,2025-05-05T14:20:54.836532993-04:00,write,17515,true
client2-1746469254700216859,2025-05-05T14:20:54.851404412-04:00,write,26057,true
client3-1746469254700217931,2025-05-05T14:20:54.851468332-04:00,write,26110,true
client1-1746469254700215747,2025-05-05T14:20:54.851479322-04:00,write,26102,true
client0-1746469254700213924,2025-05-05T14:20:54.861199931-04:00,write,24664,true
client4-1746469254700218663,2025-05-05T14:20:54.861255686-04:00,write,24808,true
client2-1746469254700216859,2025-05-05T14:20:54.867588951-04:00,write,16180,true
client4-1746469254700218663,2025-05-05T14:20:54.877590017-04:00,write,16331,true
client1-1746469254700215747,2025-05-05T14:20:54.877673113-04:00,write,26191,true
client0-1746469254700213924,2025-05-05T14:20:54.877685406-04:00,write,16481,true
client3-1746469254700217931,2025-05-05T14:20:54.877701547-04:00,write,26230,true
client4-1746469254700218663,2025-05-05T14:20:54.888124847-04:00,write,10531,true
client2-1746469254700216859,2025-05-05T14:20:54.888224695-04:00,write,20632,true
client4-1746469254700218663,2025-05-05T14:20:54.899332894-04:00,write,11204,true
client0-1746469254700213924,2025-05-05T14:20:54.899425839-04:00,write,21738,true
client1-1746469254700215747,2025-05-05T14:20:54.899450134-04:00,write,21774,true
client3-1746469254700217931,2025-05-05T14:20:54.899461095-04:00,write,21757,true
client2-1746469254700216859,2025-05-05T14:20:54.907027019-04:00,write,18800,true
client0-1746469254700213924,2025-05-05T14:20:54.917783987-04:00,write,18355,true
client4-1746469254700218663,2025-05-05T14:20:54.917855121-04:00,write,18518,true
client3-1746469254700217931,2025-05-05T14:20:54.917883404-04:00,write,18420,true
client1-1746469254700215747,2025-05-05T14:20:54.917896208-04:00,write,18443,true
client2-1746469254700216859,2025-05-05T14:20:54.920536867-04:00,write,13506,true
client0-1746469254700213924,2025-05-05T14:20:54.923502696-04:00,write,5715,true
client4-1746469254700218663,2025-05-05T14:20:54.926511868-04:00,write,8654,true
client3-1746469254700217931,2025-05-05T14:20:54.926589965-04:00,write,8703,true
client1-1746469254700215747,2025-05-05T14:20:54.926601026-04:00,write,8702,true
client2-1746469254700216859,2025-05-05T14:20:54.930301227-04:00,write,9760,true
client0-1746469254700213924,2025-05-05T14:20:54.930314993-04:00,write,6808,true
client1-1746469254700215747,2025-05-05T14:20:54.934724649-04:00,write,8121,true
