ClientID,Timestamp,Operation,Latency_us,Success
client2-1746469194028045518,2025-05-05T14:19:54.036687798-04:00,write,7507,true
client3-1746469194028046570,2025-05-05T14:19:54.040363814-04:00,write,10452,true
client0-1746469194028042613,2025-05-05T14:19:54.04043645-04:00,write,11138,true
client1-1746469194028044476,2025-05-05T14:19:54.040454134-04:00,write,10714,true
client4-1746469194028047301,2025-05-05T14:19:54.040470514-04:00,write,10850,true
client3-1746469194028046570,2025-05-05T14:19:54.04607591-04:00,write,5707,true
client2-1746469194028045518,2025-05-05T14:19:54.046162864-04:00,write,9466,true
client3-1746469194028046570,2025-05-05T14:19:54.051934853-04:00,write,5854,true
client4-1746469194028047301,2025-05-05T14:19:54.052012509-04:00,write,11539,true
client1-1746469194028044476,2025-05-05T14:19:54.052025885-04:00,write,11569,true
client0-1746469194028042613,2025-05-05T14:19:54.052048527-04:00,write,11609,true
client3-1746469194028046570,2025-05-05T14:19:54.06078296-04:00,write,8844,true
client2-1746469194028045518,2025-05-05T14:19:54.060903968-04:00,write,14738,true
client3-1746469194028046570,2025-05-05T14:19:54.066869241-04:00,write,6082,true
client0-1746469194028042613,2025-05-05T14:19:54.066941436-04:00,write,14890,true
client1-1746469194028044476,2025-05-05T14:19:54.06695401-04:00,write,14925,true
client4-1746469194028047301,2025-05-05T14:19:54.066966504-04:00,write,14951,true
client3-1746469194028046570,2025-05-05T14:19:54.074261739-04:00,write,7388,true
client2-1746469194028045518,2025-05-05T14:19:54.074346037-04:00,write,13439,true
client3-1746469194028046570,2025-05-05T14:19:54.081273551-04:00,write,7008,true
client4-1746469194028047301,2025-05-05T14:19:54.081339805-04:00,write,14371,true
client1-1746469194028044476,2025-05-05T14:19:54.081352018-04:00,write,14395,true
client0-1746469194028042613,2025-05-05T14:19:54.081363971-04:00,write,14420,true
client3-1746469194028046570,2025-05-05T14:19:54.08706129-04:00,write,5784,true
client2-1746469194028045518,2025-05-05T14:19:54.087152581-04:00,write,12804,true
client3-1746469194028046570,2025-05-05T14:19:54.093662138-04:00,write,6597,true
client0-1746469194028042613,2025-05-05T14:19:54.093734795-04:00,write,12368,true
client1-1746469194028044476,2025-05-05T14:19:54.093751837-04:00,write,12397,true
client4-1746469194028047301,2025-05-05T14:19:54.09376389-04:00,write,12421,true
client2-1746469194028045518,2025-05-05T14:19:54.09944612-04:00,write,12291,true
client3-1746469194028046570,2025-05-05T14:19:54.099574542-04:00,write,5909,true
client0-1746469194028042613,2025-05-05T14:19:54.102902804-04:00,write,9165,true
client1-1746469194028044476,2025-05-05T14:19:54.10291671-04:00,write,9162,true
client4-1746469194028047301,2025-05-05T14:19:54.102934433-04:00,write,9168,true
client2-1746469194028045518,2025-05-05T14:19:54.108220659-04:00,write,8771,true
client3-1746469194028046570,2025-05-05T14:19:54.108484575-04:00,write,8907,true
client4-1746469194028047301,2025-05-05T14:19:54.114779518-04:00,write,11842,true
client0-1746469194028042613,2025-05-05T14:19:54.114846264-04:00,write,11940,true
client1-1746469194028044476,2025-05-05T14:19:54.114858597-04:00,write,11939,true
client2-1746469194028045518,2025-05-05T14:19:54.115122223-04:00,write,6898,true
client3-1746469194028046570,2025-05-05T14:19:54.118599495-04:00,write,10112,true
client4-1746469194028047301,2025-05-05T14:19:54.123734967-04:00,write,8952,true
client1-1746469194028044476,2025-05-05T14:19:54.124000577-04:00,write,9139,true
client2-1746469194028045518,2025-05-05T14:19:54.124024963-04:00,write,8899,true
client0-1746469194028042613,2025-05-05T14:19:54.124035943-04:00,write,9187,true
client4-1746469194028047301,2025-05-05T14:19:54.129825075-04:00,write,6086,true
