ClientID,Timestamp,Operation,Latency_us,Success
client2-1746468041530196766,2025-05-05T14:00:41.538785836-04:00,read,823,true
client0-1746468041530193870,2025-05-05T14:00:41.543956385-04:00,write,6001,true
client0-1746468041530193870,2025-05-05T14:00:41.544609554-04:00,read,649,true
client4-1746468041530198509,2025-05-05T14:00:41.549330757-04:00,write,11386,true
client3-1746468041530197788,2025-05-05T14:00:41.549349863-04:00,write,11226,true
client1-1746468041530195714,2025-05-05T14:00:41.549368869-04:00,write,11262,true
client0-1746468041530193870,2025-05-05T14:00:41.551090729-04:00,read,444,true
client2-1746468041530196766,2025-05-05T14:00:41.55296214-04:00,write,9012,true
client0-1746468041530193870,2025-05-05T14:00:41.556723767-04:00,read,461,true
client4-1746468041530198509,2025-05-05T14:00:41.557281878-04:00,write,7947,true
client3-1746468041530197788,2025-05-05T14:00:41.557422923-04:00,write,8070,true
client1-1746468041530195714,2025-05-05T14:00:41.557436288-04:00,write,8064,true
client4-1746468041530198509,2025-05-05T14:00:41.557749537-04:00,read,464,true
client3-1746468041530197788,2025-05-05T14:00:41.562718146-04:00,write,5292,true
client2-1746468041530196766,2025-05-05T14:00:41.562773801-04:00,write,9808,true
client2-1746468041530196766,2025-05-05T14:00:41.563782569-04:00,read,1006,true
client4-1746468041530198509,2025-05-05T14:00:41.563872478-04:00,read,1050,true
client0-1746468041530193870,2025-05-05T14:00:41.571283522-04:00,write,8693,true
client1-1746468041530195714,2025-05-05T14:00:41.571355277-04:00,write,13916,true
client4-1746468041530198509,2025-05-05T14:00:41.576276066-04:00,write,7040,true
client3-1746468041530197788,2025-05-05T14:00:41.5763368-04:00,write,13047,true
client2-1746468041530196766,2025-05-05T14:00:41.576348272-04:00,write,7364,true
client3-1746468041530197788,2025-05-05T14:00:41.576950415-04:00,read,611,true
client3-1746468041530197788,2025-05-05T14:00:41.582509715-04:00,read,445,true
client0-1746468041530193870,2025-05-05T14:00:41.583015516-04:00,write,11728,true
client0-1746468041530193870,2025-05-05T14:00:41.583454472-04:00,read,436,true
client1-1746468041530195714,2025-05-05T14:00:41.584557267-04:00,write,13199,true
client4-1746468041530198509,2025-05-05T14:00:41.587464948-04:00,write,11185,true
client3-1746468041530197788,2025-05-05T14:00:41.589333464-04:00,read,585,true
client0-1746468041530193870,2025-05-05T14:00:41.593355722-04:00,write,5897,true
client2-1746468041530196766,2025-05-05T14:00:41.59341289-04:00,write,17062,true
client1-1746468041530195714,2025-05-05T14:00:41.593426545-04:00,write,8866,true
client1-1746468041530195714,2025-05-05T14:00:41.594090605-04:00,read,661,true
client0-1746468041530193870,2025-05-05T14:00:41.594177749-04:00,read,539,true
client1-1746468041530195714,2025-05-05T14:00:41.595762951-04:00,read,558,true
client2-1746468041530196766,2025-05-05T14:00:41.598448725-04:00,write,5033,true
client4-1746468041530198509,2025-05-05T14:00:41.598508637-04:00,write,11040,true
client2-1746468041530196766,2025-05-05T14:00:41.599017705-04:00,read,565,true
client0-1746468041530193870,2025-05-05T14:00:41.60053508-04:00,read,459,true
client1-1746468041530195714,2025-05-05T14:00:41.601994466-04:00,read,443,true
client4-1746468041530198509,2025-05-05T14:00:41.604080591-04:00,write,5569,true
client3-1746468041530197788,2025-05-05T14:00:41.604140674-04:00,write,8929,true
client4-1746468041530198509,2025-05-05T14:00:41.604509909-04:00,read,426,true
client3-1746468041530197788,2025-05-05T14:00:41.604572126-04:00,read,429,true
client2-1746468041530196766,2025-05-05T14:00:41.606689089-04:00,write,6499,true
client4-1746468041530198509,2025-05-05T14:00:41.607520694-04:00,read,850,true
client1-1746468041530195714,2025-05-05T14:00:41.607790652-04:00,read,967,true
client0-1746468041530193870,2025-05-05T14:00:41.612829523-04:00,write,6275,true
client4-1746468041530198509,2025-05-05T14:00:41.613430604-04:00,read,606,true
client3-1746468041530197788,2025-05-05T14:00:41.618940791-04:00,write,12145,true
client2-1746468041530196766,2025-05-05T14:00:41.618983382-04:00,write,12291,true
client1-1746468041530195714,2025-05-05T14:00:41.626067941-04:00,write,12982,true
client0-1746468041530193870,2025-05-05T14:00:41.626115321-04:00,write,13282,true
client3-1746468041530197788,2025-05-05T14:00:41.628424415-04:00,write,9480,true
client1-1746468041530195714,2025-05-05T14:00:41.6334335-04:00,write,7357,true
client2-1746468041530196766,2025-05-05T14:00:41.633468055-04:00,write,14482,true
client4-1746468041530198509,2025-05-05T14:00:41.633480328-04:00,write,14383,true
client4-1746468041530198509,2025-05-05T14:00:41.634118198-04:00,read,635,true
client2-1746468041530196766,2025-05-05T14:00:41.634126133-04:00,read,655,true
client0-1746468041530193870,2025-05-05T14:00:41.63656918-04:00,write,10451,true
client0-1746468041530193870,2025-05-05T14:00:41.637005531-04:00,read,433,true
client2-1746468041530196766,2025-05-05T14:00:41.638574403-04:00,read,537,true
client4-1746468041530198509,2025-05-05T14:00:41.638582608-04:00,read,557,true
client3-1746468041530197788,2025-05-05T14:00:41.638596535-04:00,write,10168,true
client1-1746468041530195714,2025-05-05T14:00:41.644194698-04:00,write,10757,true
client4-1746468041530198509,2025-05-05T14:00:41.644661436-04:00,read,588,true
client2-1746468041530196766,2025-05-05T14:00:41.650994712-04:00,write,6911,true
client0-1746468041530193870,2025-05-05T14:00:41.651062189-04:00,write,13031,true
client3-1746468041530197788,2025-05-05T14:00:41.651075244-04:00,write,12476,true
client4-1746468041530198509,2025-05-05T14:00:41.65133367-04:00,read,563,true
client2-1746468041530196766,2025-05-05T14:00:41.65784429-04:00,write,6843,true
client1-1746468041530195714,2025-05-05T14:00:41.657858106-04:00,write,13659,true
client1-1746468041530195714,2025-05-05T14:00:41.658361994-04:00,read,501,true
client3-1746468041530197788,2025-05-05T14:00:41.662449244-04:00,write,11371,true
client0-1746468041530193870,2025-05-05T14:00:41.662514307-04:00,write,11449,true
client4-1746468041530198509,2025-05-05T14:00:41.662544303-04:00,write,5914,true
client3-1746468041530197788,2025-05-05T14:00:41.663439658-04:00,read,987,true
client3-1746468041530197788,2025-05-05T14:00:41.664421646-04:00,read,978,true
client1-1746468041530195714,2025-05-05T14:00:41.664429931-04:00,read,995,true
client4-1746468041530198509,2025-05-05T14:00:41.664446713-04:00,read,999,true
client2-1746468041530196766,2025-05-05T14:00:41.667814399-04:00,write,9966,true
client3-1746468041530197788,2025-05-05T14:00:41.669686451-04:00,read,452,true
client1-1746468041530195714,2025-05-05T14:00:41.669809162-04:00,read,461,true
client0-1746468041530193870,2025-05-05T14:00:41.670900526-04:00,write,8383,true
client2-1746468041530196766,2025-05-05T14:00:41.676320824-04:00,write,8501,true
client0-1746468041530193870,2025-05-05T14:00:41.684804627-04:00,write,13901,true
client4-1746468041530198509,2025-05-05T14:00:41.684889767-04:00,write,15775,true
client0-1746468041530193870,2025-05-05T14:00:41.685233975-04:00,read,425,true
client4-1746468041530198509,2025-05-05T14:00:41.685350264-04:00,read,458,true
client1-1746468041530195714,2025-05-05T14:00:41.686469129-04:00,write,10286,true
client1-1746468041530195714,2025-05-05T14:00:41.686903276-04:00,read,431,true
client1-1746468041530195714,2025-05-05T14:00:41.688667395-04:00,read,579,true
client0-1746468041530193870,2025-05-05T14:00:41.694540946-04:00,write,6580,true
client2-1746468041530196766,2025-05-05T14:00:41.694607261-04:00,write,18283,true
client3-1746468041530197788,2025-05-05T14:00:41.694618873-04:00,write,18424,true
client1-1746468041530195714,2025-05-05T14:00:41.695090911-04:00,read,672,true
client2-1746468041530196766,2025-05-05T14:00:41.695191631-04:00,read,581,true
client1-1746468041530195714,2025-05-05T14:00:41.702043743-04:00,read,443,true
client0-1746468041530193870,2025-05-05T14:00:41.702801509-04:00,write,8257,true
client4-1746468041530198509,2025-05-05T14:00:41.702872402-04:00,write,14919,true
client1-1746468041530195714,2025-05-05T14:00:41.707725303-04:00,read,520,true
client3-1746468041530197788,2025-05-05T14:00:41.708419059-04:00,write,13797,true
client2-1746468041530196766,2025-05-05T14:00:41.708432424-04:00,write,8126,true
client1-1746468041530195714,2025-05-05T14:00:41.714265789-04:00,read,451,true
client4-1746468041530198509,2025-05-05T14:00:41.715262034-04:00,write,12387,true
client0-1746468041530193870,2025-05-05T14:00:41.715352113-04:00,write,12547,true
client4-1746468041530198509,2025-05-05T14:00:41.715757977-04:00,read,492,true
client0-1746468041530193870,2025-05-05T14:00:41.715874186-04:00,read,519,true
client3-1746468041530197788,2025-05-05T14:00:41.718156079-04:00,write,9734,true
client2-1746468041530196766,2025-05-05T14:00:41.718171959-04:00,write,9731,true
client2-1746468041530196766,2025-05-05T14:00:41.718737353-04:00,read,563,true
client2-1746468041530196766,2025-05-05T14:00:41.719398226-04:00,read,442,true
client4-1746468041530198509,2025-05-05T14:00:41.719517651-04:00,read,446,true
client1-1746468041530195714,2025-05-05T14:00:41.719913296-04:00,read,520,true
client3-1746468041530197788,2025-05-05T14:00:41.722606854-04:00,write,4447,true
client0-1746468041530193870,2025-05-05T14:00:41.725352199-04:00,write,6621,true
client2-1746468041530196766,2025-05-05T14:00:41.725678513-04:00,read,455,true
client4-1746468041530198509,2025-05-05T14:00:41.725965182-04:00,read,626,true
client1-1746468041530195714,2025-05-05T14:00:41.726191709-04:00,read,619,true
client3-1746468041530197788,2025-05-05T14:00:41.731244255-04:00,write,8632,true
client3-1746468041530197788,2025-05-05T14:00:41.731745268-04:00,read,498,true
client4-1746468041530198509,2025-05-05T14:00:41.732172351-04:00,read,571,true
client3-1746468041530197788,2025-05-05T14:00:41.732399589-04:00,read,650,true
client0-1746468041530193870,2025-05-05T14:00:41.733793091-04:00,write,8437,true
client2-1746468041530196766,2025-05-05T14:00:41.736361814-04:00,write,4879,true
client2-1746468041530196766,2025-05-05T14:00:41.739036136-04:00,read,572,true
client4-1746468041530198509,2025-05-05T14:00:41.739044652-04:00,read,576,true
client0-1746468041530193870,2025-05-05T14:00:41.741820815-04:00,write,8024,true
client1-1746468041530195714,2025-05-05T14:00:41.741907989-04:00,write,10085,true
client0-1746468041530193870,2025-05-05T14:00:41.742295799-04:00,read,469,true
client3-1746468041530197788,2025-05-05T14:00:41.744711985-04:00,write,6255,true
client0-1746468041530193870,2025-05-05T14:00:41.745063046-04:00,read,644,true
client2-1746468041530196766,2025-05-05T14:00:41.745087853-04:00,read,664,true
client3-1746468041530197788,2025-05-05T14:00:41.745290444-04:00,read,574,true
client1-1746468041530195714,2025-05-05T14:00:41.748100461-04:00,write,6185,true
client0-1746468041530193870,2025-05-05T14:00:41.750928923-04:00,read,472,true
client2-1746468041530196766,2025-05-05T14:00:41.751164466-04:00,read,713,true
client1-1746468041530195714,2025-05-05T14:00:41.753934328-04:00,write,5828,true
client4-1746468041530198509,2025-05-05T14:00:41.754018175-04:00,write,9606,true
client1-1746468041530195714,2025-05-05T14:00:41.754390396-04:00,read,450,true
client4-1746468041530198509,2025-05-05T14:00:41.754475185-04:00,read,449,true
client3-1746468041530197788,2025-05-05T14:00:41.756792375-04:00,write,6220,true
client2-1746468041530196766,2025-05-05T14:00:41.757153685-04:00,read,597,true
client4-1746468041530198509,2025-05-05T14:00:41.757293418-04:00,read,724,true
client1-1746468041530195714,2025-05-05T14:00:41.757367678-04:00,read,545,true
client3-1746468041530197788,2025-05-05T14:00:41.75738517-04:00,read,588,true
client0-1746468041530193870,2025-05-05T14:00:41.76057398-04:00,write,4010,true
client3-1746468041530197788,2025-05-05T14:00:41.763657993-04:00,read,450,true
client0-1746468041530193870,2025-05-05T14:00:41.768454137-04:00,write,5791,true
client0-1746468041530193870,2025-05-05T14:00:41.770038819-04:00,read,539,true
client1-1746468041530195714,2025-05-05T14:00:41.772055914-04:00,write,8859,true
client4-1746468041530198509,2025-05-05T14:00:41.772140864-04:00,write,9254,true
client2-1746468041530196766,2025-05-05T14:00:41.772152606-04:00,write,9481,true
client4-1746468041530198509,2025-05-05T14:00:41.772714854-04:00,read,571,true
client0-1746468041530193870,2025-05-05T14:00:41.776400799-04:00,read,576,true
client4-1746468041530198509,2025-05-05T14:00:41.776411369-04:00,read,593,true
client1-1746468041530195714,2025-05-05T14:00:41.776670497-04:00,write,4611,true
client3-1746468041530197788,2025-05-05T14:00:41.776769683-04:00,write,7277,true
client3-1746468041530197788,2025-05-05T14:00:41.777294962-04:00,read,522,true
client2-1746468041530196766,2025-05-05T14:00:41.779282311-04:00,write,7127,true
client1-1746468041530195714,2025-05-05T14:00:41.782076699-04:00,write,5403,true
